Customer ID,Name,Gender,Age,Occupation,Marital Status,"Address (City, State, Zip Code)",Age Group
CUST87425473,Norma Fisher,Female,63,Futures trader,Married,"Sullivanport, New Mexico, 47431",60+
CUST52762998,Susan Wagner,Male,57,Herbalist,Single,"Port Cody, Kentucky, 70305",45-59
CUST78641469,Dr. Stephanie Collins,Other,79,"Buyer, retail",Widowed,"Thomasville, Minnesota, 57408",60+
CUST82850738,Martin Harris,Other,18,Sub,Widowed,"Ramoshaven, Kentucky, 08664",18-29
CUST83770928,Kimberly Smith,Male,75,Oceanographer,Single,"New Tristanmouth, Kansas, 96220",60+
CUST03591575,Seth Lee,Other,44,Tax inspector,Divorced,"East Linda, Georgia, 71671",30-44
CUST45352116,Bobby Flores,Other,51,Rural practice surveyor,Widowed,"Rodriguezside, Maine, 93111",45-59
CUST06110068,Gary Nielsen,Other,68,"Engineer, electronics",Divorced,"Seanfurt, Massachusetts, 75952",60+
CUST52268424,Clinton Underwood,Other,63,Amenity horticulturist,Single,"Thomasland, Utah, 99801",60+
CUST31531027,Chase Johnson,Female,39,Catering manager,Divorced,"Masseyhaven, Louisiana, 68893",30-44
CUST40782869,Sarah Jacobson,Other,27,Theme park manager,Single,"Rileymouth, New York, 87040",18-29
CUST11810816,Melody Haas,Male,41,Marketing executive,Single,"West Chloefort, Pennsylvania, 83095",30-44
CUST47065680,Connor Smith,Male,56,Geoscientist,Divorced,"Lake Jeffreyburgh, Michigan, 56354",45-59
CUST40456329,Ashlee Thomas,Female,39,English as a foreign language teacher,Married,"Port Audreyside, Rhode Island, 89707",30-44
CUST90683254,Caleb Lopez,Male,19,Teaching laboratory technician,Widowed,"South Christopherville, Arizona, 79865",18-29
CUST69896361,Tyler Lopez,Other,19,Community pharmacist,Widowed,"Clarkton, Utah, 03487",18-29
CUST73022932,Lisa Huff,Female,34,Building control surveyor,Divorced,"North Deborah, Minnesota, 57657",30-44
CUST34601326,Jonathan Williams,Female,71,Chiropractor,Single,"Gonzalezstad, Washington, 62133",60+
CUST47460421,Tamara Jackson,Other,80,"Engineer, electronics",Single,"Port Ericaburgh, Michigan, 69900",60+
CUST84348881,Kyle Ramos,Other,28,Economist,Married,"South Erinshire, North Carolina, 41322",18-29
CUST94632708,Jasmine Sandoval,Other,30,"Designer, exhibition/display",Married,"South Judithmouth, West Virginia, 06490",30-44
CUST16829183,Brandy Gill,Male,20,Race relations officer,Divorced,"Chelseastad, Pennsylvania, 83567",18-29
CUST97126861,Brandi Collins,Male,53,Patent examiner,Single,"North Brookemouth, Hawaii, 31881",45-59
CUST02233588,Jerome Page,Other,81,Tax inspector,Widowed,"Johnsonshire, Nebraska, 87296",60+
CUST63525013,Carol Brown,Female,29,"Designer, industrial/product",Divorced,"Rosefort, Oklahoma, 79665",18-29
CUST70215391,Stacey Simpson,Male,79,Insurance underwriter,Married,"Williamschester, Illinois, 72402",60+
CUST93873821,Miss Angela Swanson DVM,Other,79,Operational investment banker,Widowed,"Stewartborough, Alabama, 94522",60+
CUST37811403,Veronica Lowe,Other,37,Veterinary surgeon,Married,"East Davidborough, Maryland, 37198",30-44
CUST63960070,Catherine Alvarez,Male,30,Occupational psychologist,Widowed,"North Joshuamouth, Delaware, 34119",30-44
CUST52977202,Joseph Curtis,Female,39,"Loss adjuster, chartered",Widowed,"Port Erictown, Arizona, 05830",30-44
CUST11880572,David Edwards,Female,68,Medical technical officer,Divorced,"Port Karafort, Virginia, 84930",60+
CUST20921135,Margaret Watson,Male,31,Soil scientist,Widowed,"East Nicholas, Maine, 01667",30-44
CUST14684934,Devon Morgan,Female,43,Mental health nurse,Married,"West Kimberlyton, Arizona, 35840",30-44
CUST07733586,William Roberts,Male,66,Nutritional therapist,Divorced,"West Danny, Washington, 31919",60+
CUST78008020,Elizabeth Vincent,Male,75,Building services engineer,Divorced,"Richardmouth, Maryland, 54859",60+
CUST88843350,Justin Olson,Male,84,Leisure centre manager,Single,"Davidville, Vermont, 65740",60+
CUST79255847,Eric Navarro,Female,47,"Designer, furniture",Single,"Lake Anne, South Dakota, 11894",45-59
CUST60152089,Bradley Brady,Female,70,"Biochemist, clinical",Widowed,"Smithfurt, Oklahoma, 68527",60+
CUST80612800,Thomas Kramer,Female,36,"Engineer, water",Widowed,"Millerbury, Kentucky, 77208",30-44
CUST86068304,Jessica Howard,Female,24,Bonds trader,Single,"New Shannonborough, Delaware, 65655",18-29
CUST41066153,Daniel Williams,Female,80,"Engineer, technical sales",Single,"North James, Missouri, 47902",60+
CUST86463166,Brittany Hinton,Male,67,Ranger/warden,Divorced,"New Richard, Utah, 55975",60+
CUST98685717,Kathleen Stark,Female,65,IT trainer,Married,"Boltonborough, Ohio, 80424",60+
CUST47009499,Alexandra Thornton,Other,45,"Investment banker, corporate",Married,"Austinberg, Kentucky, 79483",45-59
CUST08876431,Sarah Aguilar,Female,72,"Psychotherapist, dance movement",Single,"Port Christopherton, California, 30004",60+
CUST94077046,Eric Blake,Male,81,"Production assistant, radio",Divorced,"Michelleberg, Tennessee, 60890",60+
CUST70030309,Kathy Santana,Female,27,Retail buyer,Married,"New Christopherhaven, Wisconsin, 79162",18-29
CUST22691030,Nicole Bullock MD,Other,47,Social worker,Married,"Petersenfort, Missouri, 80118",45-59
CUST11391934,Sarah Yates,Female,55,Academic librarian,Divorced,"West William, Kentucky, 44106",45-59
CUST19151898,Scott Hahn,Female,83,Immunologist,Married,"Cruzfurt, Arkansas, 21969",60+
CUST21368637,Bethany Mitchell,Male,71,"Lecturer, higher education",Divorced,"North Timothyberg, New York, 79401",60+
CUST57146043,Megan Hernandez,Other,25,Manufacturing engineer,Widowed,"Johnsonmouth, Missouri, 60647",18-29
CUST44732249,John Hernandez,Male,53,Amenity horticulturist,Single,"Lake Mario, Vermont, 72478",45-59
CUST56743742,Chloe Logan,Female,61,Recycling officer,Married,"North Chelseamouth, South Carolina, 83379",60+
CUST36072844,Marie Montes,Male,56,Wellsite geologist,Single,"Kristinaberg, Missouri, 39010",45-59
CUST76517467,Shelia Becker,Male,69,Community development worker,Divorced,"North Kimberly, New Hampshire, 49204",60+
CUST60260387,Joy Clarke,Female,31,Call centre manager,Divorced,"North Toddtown, North Dakota, 87861",30-44
CUST38610025,Sherri Hall,Male,85,Retail buyer,Married,"Hunterville, Georgia, 56333",60+
CUST87082152,Jennifer Miller,Male,70,Civil Service fast streamer,Widowed,"Brownchester, Wyoming, 20968",60+
CUST79245111,Amanda Griffin,Female,77,Pensions consultant,Married,"South Samanthamouth, Washington, 33607",60+
CUST52672454,Benjamin Howard,Male,74,Air traffic controller,Divorced,"Michaeltown, Iowa, 48447",60+
CUST14823398,Steven Clark,Male,28,"Engineer, energy",Widowed,"Lake Adrianstad, Vermont, 03731",18-29
CUST00698672,Crystal Thomas,Other,54,Professor Emeritus,Married,"South Maxwellview, Florida, 04162",45-59
CUST14314844,Heidi Kennedy,Other,36,"Horticulturist, commercial",Divorced,"Sharonside, South Dakota, 43359",30-44
CUST19473832,Willie Garcia,Male,74,Telecommunications researcher,Married,"Ericberg, Florida, 29706",60+
CUST50320106,David Fischer,Male,47,"Horticulturist, amenity",Divorced,"Robertton, Florida, 79302",45-59
CUST67528346,Blake Jones,Other,73,Petroleum engineer,Widowed,"Andreaberg, Pennsylvania, 55838",60+
CUST47220106,Henry Wright,Male,26,Merchant navy officer,Widowed,"South Rickychester, Washington, 42531",18-29
CUST69394318,Jacob Farley,Female,59,"Chemist, analytical",Widowed,"Port Daniel, Delaware, 73662",45-59
CUST82510838,Brittany Park,Female,56,Oceanographer,Divorced,"Port Robert, Idaho, 33001",45-59
CUST53482350,Gina Mills,Female,74,Marine scientist,Single,"Welchland, New Mexico, 99464",60+
CUST94440281,Aaron Hale,Male,74,Water engineer,Single,"Smithport, Delaware, 82934",60+
CUST85839228,Lee Coleman,Female,63,Public affairs consultant,Divorced,"Lake Tylerbury, Ohio, 53625",60+
CUST91867775,William Martinez,Female,51,Architect,Divorced,"West Raymondshire, Virginia, 52436",45-59
CUST21707227,Paul Gomez,Other,18,"Engineer, building services",Widowed,"North Chadview, Maryland, 70446",18-29
CUST81617367,Joseph Wright,Other,54,"Development worker, community",Married,"South Michelleport, North Dakota, 18119",45-59
CUST79033345,Lori Schmidt,Male,19,Paediatric nurse,Divorced,"Figueroaview, Maine, 58482",18-29
CUST36881191,Mark Moore,Male,81,Community arts worker,Married,"Moralesmouth, Florida, 73850",60+
CUST21236149,Heather Kennedy,Other,21,Pathologist,Divorced,"South Tracy, North Carolina, 42213",18-29
CUST43951887,Tyler Wallace Jr.,Other,58,Research scientist (life sciences),Single,"New Jasonstad, New Mexico, 51745",45-59
CUST26787300,Alexandra Rose,Other,49,Broadcast engineer,Divorced,"Lake Stacyfurt, Alabama, 47854",45-59
CUST86623105,Marc Key,Male,37,"Horticulturist, commercial",Divorced,"East Karen, Maine, 25562",30-44
CUST06002600,Joel Rivera,Other,72,Dispensing optician,Married,"Robertchester, Georgia, 59128",60+
CUST82431397,Brittany Stewart,Female,19,"Engineer, manufacturing",Widowed,"South Michael, Missouri, 56506",18-29
CUST85897751,Jean Robinson,Female,39,"Engineer, building services",Single,"Bentleyshire, Virginia, 07027",30-44
CUST56686028,Amanda Schultz,Male,49,"Embryologist, clinical",Single,"Brianburgh, Iowa, 80557",45-59
CUST98785748,Brandon Melton,Male,76,Higher education careers adviser,Married,"Robertton, South Dakota, 91832",60+
CUST60373684,Tina Blevins,Female,55,Planning and development surveyor,Married,"Henryfort, Indiana, 44697",45-59
CUST45173890,Andrew Martin,Other,54,"Accountant, chartered certified",Widowed,"Diamondberg, California, 56566",45-59
CUST97526474,Tracy Sanders,Female,24,Environmental consultant,Single,"Leeville, Rhode Island, 11723",18-29
CUST29267997,Erica Bryant,Other,84,"Journalist, broadcasting",Divorced,"Anthonyton, Illinois, 48827",60+
CUST38219892,Sergio Reed,Other,63,"Engineer, drilling",Married,"Emilyport, Maryland, 68252",60+
CUST98370859,Dawn Cooper,Female,55,Film/video editor,Divorced,"West Sarahland, Alabama, 60916",45-59
CUST37690101,Jeffrey Stark MD,Male,79,"Research officer, political party",Divorced,"Alexanderland, Colorado, 32108",60+
CUST71549116,Preston Gutierrez,Male,32,"Engineer, production",Widowed,"Salazarchester, Oklahoma, 99437",30-44
CUST72249795,Jennifer Haley,Other,58,Fisheries officer,Divorced,"Robinsonview, Minnesota, 42391",45-59
CUST17787169,Ashley Lam DDS,Other,67,"Engineer, drilling",Divorced,"Kimberlyhaven, Rhode Island, 61066",60+
CUST40967783,Debbie Hall,Male,42,Commissioning editor,Divorced,"East Jessicabury, Indiana, 37798",30-44
CUST64728299,Yolanda Smith,Male,75,Social worker,Married,"Trevinoville, Missouri, 85068",60+
CUST74587919,Wesley Cunningham,Female,68,Event organiser,Divorced,"Jeffreybury, California, 68416",60+
CUST28760002,Garrett Brooks,Female,67,Quantity surveyor,Widowed,"Brandiberg, Alabama, 72999",60+
CUST76380481,Holly Walters,Other,53,"Conservation officer, nature",Divorced,"Mooreburgh, North Carolina, 10522",45-59
CUST83910830,Daniel Herman,Other,32,Research scientist (maths),Widowed,"East Jessica, Iowa, 50912",30-44
CUST09893997,Kevin Fuller,Female,70,Clinical cytogeneticist,Married,"New Caitlinfort, New Jersey, 40962",60+
CUST54301146,Daniel Delgado,Other,23,"Research officer, trade union",Single,"Payneland, Kentucky, 18516",18-29
CUST86631880,Michele Underwood,Male,51,"Horticulturist, amenity",Married,"Acevedoborough, Arizona, 41809",45-59
CUST83775497,Tonya Cooper,Female,37,Prison officer,Single,"West Max, Hawaii, 40465",30-44
CUST61583917,Kenneth Brown,Other,48,Dentist,Widowed,"Andrewton, Alaska, 32150",45-59
CUST57917005,Darius Valdez,Male,28,Broadcast engineer,Single,"West Teresachester, Florida, 28881",18-29
CUST43485981,Charles Collins,Female,20,Land/geomatics surveyor,Married,"Reyeschester, Kentucky, 70454",18-29
CUST70814033,Nancy Parks,Male,39,"Psychologist, counselling",Divorced,"New Sandrachester, Missouri, 22955",30-44
CUST99446623,Charles Melton,Female,70,"Scientist, audiological",Married,"North Mark, Idaho, 32848",60+
CUST08133131,Tina Kemp,Other,19,"Surveyor, mining",Divorced,"Lake Christian, Rhode Island, 14087",18-29
CUST45840087,Judith Hernandez,Female,21,Town planner,Single,"West Matthewfurt, Alaska, 82521",18-29
CUST80309158,Amanda Davis,Male,18,"Horticulturist, commercial",Widowed,"South Joel, Minnesota, 21771",18-29
CUST39617169,Jennifer Nelson,Other,60,"Research officer, government",Single,"Smithhaven, Maine, 72649",60+
CUST48602212,Andrew Schmidt,Male,38,Sub,Widowed,"Sarahton, New Jersey, 52282",30-44
CUST48150903,Jennifer Crawford,Male,37,Advertising art director,Single,"Jodyton, Kentucky, 89725",30-44
CUST03009511,Michele Hickman,Female,21,"Engineer, maintenance (IT)",Widowed,"Paulview, Indiana, 15704",18-29
CUST49321550,Erin Schmitt,Female,62,Financial manager,Single,"Franciscoberg, Michigan, 98463",60+
